h1,h2,h3,h4,h5,h6,p
Markdown to CSV Converter,,,,,,Converts a basic Markdown file into a CSV file.
Markdown to CSV Converter,Set up,Install dependencies:,,,,pip3 install -r requirements.txt
Markdown to CSV Converter,Usage,,,,,"usage: main.py [-h] [-o OUTPUT] [-p {markdown,pypandoc}] [-v] input

Convert Markdown file to CSV.

positional arguments:
  input                 Markdown file to convert

options:
  -h, --help            show this help message and exit
  -o OUTPUT, --output OUTPUT
                        Name of output file
  -p {markdown,pypandoc}, --parser {markdown,pypandoc}
                        Markdown parser to use
  -v, --verbose         Increase output verbosity"
Markdown to CSV Converter,Usage,,,,,"Note: Make sure to have the required dependencies
installed for the chosen parser. Refer to the requirements.txt file."
Markdown to CSV Converter,Usage,Basic usage,,,,"This command will convert the README.md file to a CSV
file using the default pypandoc parser."
Markdown to CSV Converter,Usage,Basic usage,,,,python3 main.py README.md
Markdown to CSV Converter,Usage,Specifying the output file,,,,This will save the converted CSV file as output.csv.
Markdown to CSV Converter,Usage,Specifying the output file,,,,python3 main.py input.md -o output.csv
Markdown to CSV Converter,Usage,"Specifying the Markdown
parser",,,,You can choose between two parser options:
Markdown to CSV Converter,Usage,"Specifying the Markdown
parser",,,,"
Markdown Parser (markdown): A
lightweight parser using the Python markdown library.
Suitable for simple conversions. Sample Output
Pypandoc Parser (pypandoc): A more
extensive parser using the pypandoc library, which
wraps Pandoc. Suitable for complex Markdown files. Sample Output
"
Markdown to CSV Converter,Usage,"Specifying the Markdown
parser",,,,Example usage:
Markdown to CSV Converter,Usage,"Specifying the Markdown
parser",,,,"# Using the markdown parser
python main.py input.md --parser markdown

# Or using the pypandoc parser (default)
python main.py input.md --parser pypandoc"
Markdown to CSV Converter,Usage,Using verbose logging,,,,Add the -v flag to enable verbose logging.
Markdown to CSV Converter,Usage,Using verbose logging,,,,python3 main.py input.md -v
Want to contribute?,,,,,,"Feel free to open an issue or
submit a pull
request if you find a bug or have suggestions for improvements."
